Label,Type,Value,Unit
Brachycentridae,Distance,1.91,mm
Brachycentridae,Perimeter,2.94,mm
Brachycentridae,Perimeter,3.18,mm
Brachycentridae,Perimeter,2.2,mm
Brachycentridae,Perimeter,1.8,mm
Brachycentridae,Distance,2.36,mm
Brachycentridae,Distance,2.18,mm
Brachycentridae,Distance,1.66,mm
Brachycentridae,Distance,4.18,mm
Brachycentridae,Distance,1.95,mm
Brachycentridae,Distance,2.19,mm
Brachycentridae,Perimeter,1.8,mm
Brachycentridae,Distance,1.4,mm
Brachycentridae,Distance,1.82,mm
Brachycentridae,Distance,1.6,mm
